trace_id,fault_type,family,difficulty,fault_prefix_index,mfp_category_N2,p0_N2,pk_N2,mfp_category_N5,p0_N5,pk_N5,agreement,transition,reason,status
llama3.1:8b::tool_compiler::calendar_hard_00::400049::soft_missing_field,soft_missing_field,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400050::soft_precondition_ambiguity,soft_precondition_ambiguity,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400051::soft_stale_memory,soft_stale_memory,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400052::soft_untrusted_instruction,soft_untrusted_instruction,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400053::soft_wrong_id,soft_wrong_id,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400054::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400055::soft_missing_field,soft_missing_field,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400056::soft_precondition_ambiguity,soft_precondition_ambiguity,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400057::soft_stale_memory,soft_stale_memory,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400058::soft_untrusted_instruction,soft_untrusted_instruction,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_00::400059::soft_wrong_id,soft_wrong_id,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_01::400060::soft_date_ambiguity,soft_date_ambiguity,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_01::400061::soft_missing_field,soft_missing_field,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_01::400062::soft_precondition_ambiguity,soft_precondition_ambiguity,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
llama3.1:8b::tool_compiler::calendar_hard_01::400063::soft_stale_memory,soft_stale_memory,calendar,hard,7,prefix0,1.000,1.000,prefix0,1.000,1.000,1,same,"stable: same regime at N=2 and N=5 (N5 p0=1.00, pk=1.00)",ok
